category	provider	model_files	endpoint	env	note
keyed	minimax-cn	7	https://api.minimaxi.com/anthropic/v1/models	MINIMAX_API_KEY	HTTP 401
keyed	minimax-cn-coding-plan	7	https://api.minimaxi.com/anthropic/v1/models	MINIMAX_API_KEY	HTTP 401
keyed	minimax-coding-plan	7	https://api.minimax.io/anthropic/v1/models	MINIMAX_API_KEY	HTTP 401
keyed	runinfra	7	https://api.runinfra.ai/v1/models	RUNINFRA_GATEWAY_KEY	HTTP 401
keyed	xiaomi-token-plan-ams	7	https://token-plan-ams.xiaomimimo.com/v1/models	XIAOMI_API_KEY	HTTP 401
keyed	xiaomi-token-plan-cn	7	https://token-plan-cn.xiaomimimo.com/v1/models	XIAOMI_API_KEY	HTTP 401
keyed	xiaomi-token-plan-sgp	7	https://token-plan-sgp.xiaomimimo.com/v1/models	XIAOMI_API_KEY	HTTP 401
keyed	zai-coding-plan	7	https://api.z.ai/api/coding/paas/v4/models	ZHIPU_API_KEY	HTTP 401
keyed	dinference	6	https://api.dinference.com/v1/models	DINFERENCE_API_KEY	HTTP 401
keyed	pendra	6	https://api.pendra.ai/api/v1/models	PENDRA_API_KEY	HTTP 401
keyed	xiaomi	6	https://api.xiaomimimo.com/v1/models	XIAOMI_API_KEY	HTTP 401
keyed	ai-router	5	https://api.ai-router.dev/v1/models	AI_ROUTER_API_KEY	HTTP 401
keyed	cloudferro-sherlock	5	https://api-sherlock.cloudferro.com/openai/v1/models	CLOUDFERRO_SHERLOCK_API_KEY	HTTP 401
keyed	mixlayer	5	https://models.mixlayer.ai/v1/models	MIXLAYER_API_KEY	HTTP 401
keyed	ebcloud	4	https://maas-api.ebcloud.com/v1/models	EBCLOUD_API_KEY	HTTP 401
keyed	kimi-for-coding	4	https://api.kimi.com/coding/v1/models	KIMI_API_KEY	HTTP 401
keyed	modal	4	https://inference.us-west.modal.direct/v1/models	MODAL_PROXY_TOKEN	HTTP 401
keyed	neosmith	4	https://router.neosmith.ai/v1/models	NEOSMITH_API_KEY	HTTP 401
keyed	perplexity	4	https://api.perplexity.ai/v1/models	PERPLEXITY_API_KEY	HTTP 401
keyed	sakana	4	https://api.sakana.ai/v1/models	SAKANA_API_KEY	HTTP 401
keyed	scx-ai	4	https://api.scx.ai/v1/models	SCX_API_KEY	HTTP 401
keyed	stepfun-step-plan	4	https://api.stepfun.com/step_plan/v1/models	STEPFUN_API_KEY	HTTP 401
keyed	upstage	4	https://api.upstage.ai/v1/solar/models	UPSTAGE_API_KEY	HTTP 401
keyed	abliteration-ai	3	https://api.abliteration.ai/v1/models	ABLIT_KEY	HTTP 401
keyed	agnes	3	https://apihub.agnes-ai.com/v1/models	AGNES_API_KEY	HTTP 401
keyed	coralbricks	3	https://inference.coralbricks.ai/v1/models	CORAL_API_KEY	HTTP 401
keyed	deepseek	3	https://api.deepseek.com/models	DEEPSEEK_API_KEY	HTTP 401
keyed	drun	3	https://chat.d.run/v1/models	DRUN_API_KEY	HTTP 401
keyed	klokintegration	3	https://api-gw.klok.ipaas.se/proxy/kloker-key/v1/models	KLOKINTEGRATION_API_KEY	HTTP 401
keyed	meta	3	https://api.meta.ai/v1/models	META_MODEL_API_KEY	HTTP 401
keyed	morph	3	https://api.morphllm.com/v1/models	MORPH_API_KEY	HTTP 401
keyed	openreason	3	https://api.openreason.app/v1/models	OPENREASON_API_KEY	HTTP 401
keyed	poolside	3	https://inference.poolside.ai/v1/models	POOLSIDE_API_KEY	HTTP 401
keyed	sensenova	3	https://token.sensenova.cn/v1/models	SENSENOVA_API_KEY	HTTP 401
keyed	stepfun-ai-step-plan	3	https://api.stepfun.ai/step_plan/v1/models	STEPFUN_API_KEY	HTTP 401
keyed	tencent-tokenhub	3	https://tokenhub.tencentmaas.com/v1/models	TENCENT_TOKENHUB_API_KEY	HTTP 401
keyed	amd	2	https://developer.amd.com.cn/radeon/api/v1/models	AMD_API_KEY	HTTP 401
keyed	bailing	2	https://api.tbox.cn/api/llm/v1/chat/completions/models	BAILING_API_TOKEN	auth token required (SDK_TOKEN_NOT_FOUND)
keyed	blueclaw	2	https://openai.blueclaw.network/v1/models	BLUECLAW_API_KEY	HTTP 401
keyed	bothub	2	https://openai.bothub.ru/v1/models	BOTHUB_API_KEY	HTTP 401
keyed	cerebras	2	https://api.cerebras.ai/v1/models	CEREBRAS_API_KEY	HTTP 403
keyed	claudinio	2	https://api.claudin.io/v1/models	CLAUDINIO_API_KEY	HTTP 401
keyed	hetzner	2	https://inference.hetzner.com/api/v1/models	HETZNER_API_KEY	HTTP 401
keyed	tencent-token-plan	2	https://api.lkeap.cloud.tencent.com/plan/v3/models	TENCENT_TOKEN_PLAN_API_KEY	HTTP 401
keyed	aixy	1	https://api.aixy-gateway.com/v1/models	AIXY_API_KEY	HTTP 401
keyed	longcat	1	https://api.longcat.chat/openai/models	LONGCAT_API_KEY	HTTP 401
keyed	tokenrouter	1	https://api.tokenrouter.com/v1/models	TOKENROUTER_API_KEY	HTTP 401
scoped	amazon-bedrock	123		AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY, AWS_REGION, AWS_BEARER_TOKEN_BEDROCK	AWS ListFoundationModels, SigV4 + per-region
scoped	azure	85		AZURE_RESOURCE_NAME, AZURE_API_KEY	per-resource deployment catalog
scoped	azure-cognitive-services	74		AZURE_COGNITIVE_SERVICES_RESOURCE_NAME, AZURE_COGNITIVE_SERVICES_API_KEY	per-resource deployment catalog
scoped	sap-ai-core	48		AICORE_SERVICE_KEY	tenant-scoped
scoped	google-vertex	44		GOOGLE_VERTEX_PROJECT, GOOGLE_VERTEX_LOCATION, GOOGLE_APPLICATION_CREDENTIALS	project/region-scoped publisher API
scoped	neon	42	${NEON_AI_GATEWAY_BASE_URL}/v1	NEON_AI_GATEWAY_BASE_URL, NEON_AI_GATEWAY_TOKEN	project-scoped
scoped	databricks	30	https://${DATABRICKS_HOST}/ai-gateway/mlflow/v1	DATABRICKS_HOST, DATABRICKS_TOKEN	workspace host (DATABRICKS_HOST)
scoped	snowflake-cortex	25	https://${SNOWFLAKE_ACCOUNT}.snowflakecomputing.com/api/v2/cortex/v1	SNOWFLAKE_ACCOUNT, SNOWFLAKE_CORTEX_PAT	account-scoped
scoped	gitlab	23		GITLAB_TOKEN	no public model list (404)
scoped	google-vertex-anthropic	14		GOOGLE_VERTEX_PROJECT, GOOGLE_VERTEX_LOCATION, GOOGLE_APPLICATION_CREDENTIALS	project/region-scoped publisher API
scoped	clarifai	12	https://api.clarifai.com/v2/ext/openai/v1/models	CLARIFAI_PAT	unverified: proxy 502 from this session
scoped	infomaniak	10	https://api.infomaniak.com/2/ai/${INFOMANIAK_PRODUCT_ID}/openai/v1	INFOMANIAK_API_KEY, INFOMANIAK_PRODUCT_ID	product-id scoped
scoped	v0	3		V0_API_KEY	no /v1/models (404)
scoped	salad-cloud	1		SALAD_CLOUD_API_KEY	org-scoped (404 on public path)
local	qvac	9		QVAC_API_KEY	no public host
local	privatemode-ai	7	http://localhost:8080/v1/models	PRIVATEMODE_API_KEY, PRIVATEMODE_ENDPOINT	localhost:8080 (local runtime)
local	atomic-chat	5	http://127.0.0.1:1337/v1/models	ATOMIC_CHAT_API_KEY	127.0.0.1:1337 (local runtime)
local	lmstudio	3	http://127.0.0.1:1234/v1/models	LMSTUDIO_API_KEY	127.0.0.1:1234 (local runtime)
local	lynkr	1	http://127.0.0.1:8081/v1/models	LYNKR_API_KEY	127.0.0.1:8081 (local runtime)
broken	iflowcn	14	https://apis.iflow.cn/v1/models	IFLOW_API_KEY	apis.iflow.cn 404 on /v1/models and /models
broken	agentrouter	3	https://agentrouter.org/v1/models	AGENTROUTER_API_KEY	Aliyun WAF challenge, not an API response
broken	nova	2	https://api.nova.amazon.com/v1/models	NOVA_API_KEY	api.nova.amazon.com 500 and 404
broken	thinkingmachines	2	https://tinker.thinkingmachines.dev/services/tinker-prod/anthropic/api/v1/models	TINKER_API_KEY	Tinker exposes no model-list route
broken	kuae-cloud-coding-plan	1	https://coding-plan-endpoint.kuaecloud.net/v1/models	KUAE_API_KEY	coding-plan-endpoint.kuaecloud.net 404
broken	zeldoc	1	https://api.zeldoc.ai/v1/models	ZELDOC_API_KEY	api.zeldoc.ai 500 and 404
